Date,Importance,News,Source
4/18/2021,1,??????? ?????? ? ??????????? ??????????? ? ??? ?? «???????? V»,https://russian.rt.com/russia/news/854102-murashko-peregovory-voz-sputnik-v
4/19/2021,0,0,0
4/20/2021,0,0,0
4/21/2021,1,???????? ??? ?????? ?????? ??????? ? ?????? ???,https://russian.rt.com/world/news/855402-rossiya-glava-voz
4/22/2021,1,? ??? ??????? ????? ??????????????? ???????????? ??????? «??????? V»,https://russian.rt.com/world/news/855676-voz-inspekciya-sputnik-v-sroki
4/23/2021,0,0,0
4/24/2021,0,0,0
4/25/2021,0,0,0
4/26/2021,0,0,0
4/27/2021,1,????????? ?? ???????? ?????? ???? ?????????? ??????? «??????? V»,https://russian.rt.com/world/news/857099-regulyator-es-ekspertiza-sputnik-v
4/28/2021,0,0,0
4/29/2021,1,???? ???????????? ?? ?????????? ?????????? «???????? V» ? ?? ?? ????,https://russian.rt.com/world/news/857973-rfpi-zavershenie-ekspertiza-es
4/30/2021,0,0,0
5/1/2021,0,0,0
5/2/2021,0,0,0
5/3/2021,1,? ??? ??????? ????????? ????? ?????? «???????? V»,https://russian.rt.com/world/news/858994-voz-ocenka-sputnik-v
5/4/2021,0,0,0
5/5/2021,0,0,0
5/6/2021,0,0,0
5/7/2021,0,0,0
5/8/2021,0,0,0
5/9/2021,0,0,0
5/10/2021,0,0,0
5/11/2021,0,0,0
5/12/2021,0,0,0
5/13/2021,0,0,0
5/14/2021,0,0,0
5/15/2021,0,0,0
5/16/2021,0,0,0
5/17/2021,0,0,0
5/18/2021,0,0,0
5/19/2021,0,0,0
5/20/2021,0,0,0
5/21/2021,0,0,0
5/22/2021,0,0,0
5/23/2021,0,0,0
5/24/2021,0,0,0
5/25/2021,0,0,0
5/26/2021,0,0,0
5/27/2021,1,???? ? ?????? ????????? ?????????? ? ????????? ??????? «??????? V»,https://russian.rt.com/world/news/866613-rfpi-yunisef-vakcina
5/28/2021,0,0,0
5/29/2021,0,0,0
5/30/2021,0,0,0
5/31/2021,0,0,0
6/1/2021,0,0,0
6/2/2021,0,0,0
6/3/2021,0,0,0
6/4/2021,1,???? ?????? ????????? ???? ????????? ?? ??????? ??? «???????? V»,https://russian.rt.com/russia/news/869443-voz-odobrenie-sputnik-v
6/5/2021,0,0,0
6/6/2021,0,0,0
6/7/2021,0,0,0
6/8/2021,0,0,0
6/9/2021,0,0,0
6/10/2021,0,0,0
6/11/2021,0,0,0
6/12/2021,1,????? ?????? ?????? ???????? ?????????? ????? ? ????? ? ????????? «???????? V»,https://russian.rt.com/russia/news/872291-putin-nauka-sputnik-v
6/13/2021,0,0,0
6/14/2021,0,0,0
6/15/2021,0,0,0
6/16/2021,0,0,0
6/17/2021,0,0,0
6/18/2021,0,0,0
6/19/2021,0,0,0
6/20/2021,0,0,0
6/21/2021,0,0,0
6/22/2021,0,0,0
6/23/2021,-3,???????? ??? ??????? ???????? ?? ????? ?? ??????????? ?? ???????????? ?????? ? ??????,https://tass.ru/obschestvo/11726233
6/24/2021,0,0,0
6/25/2021,0,0,0
6/26/2021,0,0,0
6/27/2021,0,0,0
6/28/2021,0,0,0
6/29/2021,0,0,0
6/30/2021,0,0,0
7/1/2021,0,0,0
7/2/2021,0,0,0
7/3/2021,0,0,0
7/4/2021,0,0,0
7/5/2021,0,0,0
7/6/2021,0,0,0
7/7/2021,1,?????? Nature ??????????? ?????? ?? ????????????? «???????? V»,https://russian.rt.com/science/news/882759-nature-effektivnost-sputnik-v
7/8/2021,0,0,0
7/9/2021,0,0,0
7/10/2021,0,0,0
7/11/2021,0,0,0
7/12/2021,0,0,0
7/13/2021,0,0,0
7/14/2021,0,0,0
7/15/2021,0,0,0
7/16/2021,0,0,0
7/17/2021,0,0,0
7/18/2021,0,0,0
7/19/2021,0,0,0
7/20/2021,0,0,0
7/21/2021,0,0,0
7/22/2021,0,0,0
7/23/2021,0,0,0
7/24/2021,0,0,0
7/25/2021,0,0,0
7/26/2021,0,0,0
7/27/2021,0,0,0
7/28/2021,0,0,0
7/29/2021,0,0,0
7/30/2021,0,0,0
7/31/2021,0,0,0
8/1/2021,0,0,0
8/2/2021,0,0,0
8/3/2021,0,0,0
8/4/2021,0,0,0
8/5/2021,0,0,0
8/6/2021,0,0,0
8/7/2021,0,0,0
8/8/2021,0,0,0
8/9/2021,0,0,0
8/10/2021,0,0,0
8/11/2021,1,? ??? ?????????? ? ???????? ? ???????? «??????? V»,https://russian.rt.com/world/news/895049-voz-registraciya-sputnik
8/12/2021,0,0,0
8/13/2021,0,0,0
8/14/2021,0,0,0
8/15/2021,0,0,0
8/16/2021,0,0,0
8/17/2021,0,0,0
8/18/2021,0,0,0
8/19/2021,0,0,0
8/20/2021,0,0,0
8/21/2021,0,0,0
8/22/2021,0,0,0
8/23/2021,0,0,0
8/24/2021,0,0,0
8/25/2021,0,0,0
8/26/2021,0,0,0
8/27/2021,0,0,0
8/28/2021,0,0,0
8/29/2021,0,0,0
8/30/2021,0,0,0
8/31/2021,0,0,0
9/1/2021,1,????? ??? ??????? ???????????????? ????????? ????????? ??? «???????? V»,https://russian.rt.com/world/news/902080-glava-mid-vengrii-voz-sputnik-v
9/2/2021,0,0,0
9/3/2021,0,0,0
9/4/2021,0,0,0
9/5/2021,0,0,0
9/6/2021,0,0,0
9/7/2021,0,0,0
9/8/2021,0,0,0
9/9/2021,0,0,0
9/10/2021,1,? ??? ?????????? ? ???????? ? ??????? «???????? V»,https://russian.rt.com/science/news/905310-voz-ocenka-sputnik-v
9/11/2021,0,0,0
9/12/2021,0,0,0
9/13/2021,0,0,0
9/14/2021,0,0,0
9/15/2021,-2,???????? ???? ????????? ? ???????? ? ?????????? «???????? V» ? ???,https://russian.rt.com/world/news/907266-voz-sputnik-v-odobrenie
9/16/2021,0,0,0
9/17/2021,0,0,0
9/18/2021,0,0,0
9/19/2021,0,0,0
9/20/2021,0,0,0
9/21/2021,0,0,0
9/22/2021,0,0,0
9/23/2021,0,0,0
9/24/2021,0,0,0
9/25/2021,0,0,0
9/26/2021,0,0,0
9/27/2021,-1,"? ??? ??????????, ????? ???????? ????????? ??????? «??????? V»",https://russian.rt.com/world/news/911626-voz-dannye-sputnikvi-rossiya
9/28/2021,0,0,0
9/29/2021,0,0,0
9/30/2021,0,0,0
10/1/2021,0,0,0
10/2/2021,1,???????: ??? ??????? ??? ??????????? «???????? V» ? ??? ?????,https://russian.rt.com/world/news/913508-murashko-sputnik-voz
10/3/2021,0,0,0
10/4/2021,0,0,0
10/5/2021,0,0,0
10/6/2021,0,0,0
10/7/2021,1,? ??? ????????????????? ???????? ? ????????? ?????? «???????? V»,https://russian.rt.com/world/news/915209-voz-ocenka-sputnik-v
10/8/2021,0,0,0
10/9/2021,0,0,0
10/10/2021,0,0,0
10/11/2021,0,0,0
10/12/2021,0,0,0
10/13/2021,0,0,0
10/14/2021,0,0,0
10/15/2021,0,0,0
10/16/2021,0,0,0
10/17/2021,0,0,0
10/18/2021,0,0,0
10/19/2021,0,0,0
10/20/2021,1,????: ??? ??????????? ????????? ????????? «???????? V»,https://russian.rt.com/world/news/919658-rfpi-voz-sputnik
10/21/2021,0,0,0
10/22/2021,0,0,0
10/23/2021,0,0,0
10/24/2021,0,0,0
10/25/2021,0,0,0
10/26/2021,0,0,0
10/27/2021,1,??????????? ???????? ?? ?????? ??????????? «???????? V» ? ???,https://russian.rt.com/russia/news/922033-razrabotchik-voz-sputnik-v
10/28/2021,0,0,0
10/29/2021,0,0,0
10/30/2021,0,0,0
10/31/2021,0,0,0
11/1/2021,0,0,0
11/2/2021,0,0,0
11/3/2021,0,0,0
11/4/2021,0,0,0
11/5/2021,0,0,0
11/6/2021,0,0,0
11/7/2021,0,0,0
11/8/2021,0,0,0
11/9/2021,0,0,0
11/10/2021,1,???????: ?????? ? ??? ?? ????????? «???????? V» ????????? ? ?????????? ???????,https://russian.rt.com/science/news/926259-murashko-voz-sputnik-v
11/11/2021,0,0,0
11/12/2021,0,0,0
11/13/2021,0,0,0
11/14/2021,0,0,0
11/15/2021,0,0,0
11/16/2021,1,???? ??????? ????????? «???????? V» ??? ?? ????? ????,https://russian.rt.com/russia/news/928395-vakcina-priznanie-voz
11/17/2021,0,0,0
11/18/2021,0,0,0
11/19/2021,0,0,0
11/20/2021,0,0,0
11/21/2021,0,0,0
11/22/2021,0,0,0
11/23/2021,0,0,0
11/24/2021,1,"????? ???? ???????, ??? ????????? ??? ?? «???????? V» ????????? ? ???????",https://russian.rt.com/russia/news/931514-rfpi-voz-sputnik-v
11/25/2021,0,0,0
11/26/2021,0,0,0
11/27/2021,0,0,0
11/28/2021,0,0,0
11/29/2021,0,0,0
11/30/2021,0,0,0
12/1/2021,0,0,0
12/2/2021,0,0,0
12/3/2021,-1,????? ???? ?????? ? ??????????????? ????????? ??? ????????? ??? «???????? V»,https://russian.rt.com/world/news/934715-sputnik-voz-priznanie
12/4/2021,0,0,0
12/5/2021,0,0,0
12/6/2021,0,0,0
12/7/2021,0,0,0
12/8/2021,0,0,0
12/9/2021,0,0,0
12/10/2021,0,0,0
12/11/2021,0,0,0
12/12/2021,0,0,0
12/13/2021,0,0,0
12/14/2021,1,"? ??? ???????, ??? ????????? ?? «???????? V» ???????? ????? ???????????? ?????? ?? ??????",https://russian.rt.com/russia/news/938642-inspekciya-sputnik-voz
12/15/2021,0,0,0
12/16/2021,0,0,0
12/17/2021,0,0,0
12/18/2021,-1,? ??? ?????????? ? ???????? ? ?????????? ??????? ?? ???????????? «??????? V»,https://russian.rt.com/world/news/939915-voz-sputnikvi-registraciya-kommentarii
12/19/2021,0,0,0
12/20/2021,1,??? ?????? ???????? ????????? ?? ???????????? «???????? V» ? ???????,https://russian.rt.com/world/news/940785-voz-inspekciya-sputnik-v-fevral
12/21/2021,0,0,0
12/22/2021,0,0,0
12/23/2021,0,0,0
12/24/2021,0,0,0
12/25/2021,0,0,0
12/26/2021,0,0,0
12/27/2021,-1,?????? ??????? ? ?????? ??? ?????? ??????????? «???????? V»,https://russian.rt.com/world/news/943555-lavrov-voz-sputnik-registraciya
12/28/2021,0,0,0
12/29/2021,0,0,0
12/30/2021,0,0,0
12/31/2021,0,0,0
1/1/2022,0,0,0
1/2/2022,0,0,0
1/3/2022,0,0,0
1/4/2022,0,0,0
1/5/2022,0,0,0
1/6/2022,0,0,0
1/7/2022,0,0,0
1/8/2022,0,0,0
1/9/2022,0,0,0
1/10/2022,0,0,0
1/11/2022,0,0,0
1/12/2022,0,0,0
1/13/2022,0,0,0
1/14/2022,-1,???????? ??????? ???????: «??????? V» ?? ???????? ? ?? ??-?? ????????????? ????????,https://russian.rt.com/world/news/948930-sputnik-v-priznanie
